Acc	Gene_Family	Species	SRR062276_Abundance.RPKs	SRR062301_Abundance.RPKs	SRR062353_Abundance.RPKs	SRR062357_Abundance.RPKs	SRR062371_Abundance.RPKs	SRR062372_Abundance.RPKs	SRR062389_Abundance.RPKs	SRR062396_Abundance.RPKs	SRR062402_Abundance.RPKs	SRR062413_Abundance.RPKs	SRR062415_Abundance.RPKs	SRR062435_Abundance.RPKs	SRR062441_Abundance.RPKs	SRR062462_Abundance.RPKs	SRR1804628_Abundance.RPKs	SRR1804686_Abundance.RPKs	SRR346673_Abundance.RPKs	SRR346681_Abundance.RPKs	SRR513168_Abundance.RPKs	SRR513448_Abundance.RPKs	SRR514180_Abundance.RPKs	SRR514191_Abundance.RPKs	SRR514231_Abundance.RPKs	SRR528155_Abundance.RPKs	SRR528183_Abundance.RPKs	SRR528261_Abundance.RPKs	SRR528300_Abundance.RPKs	SRR528353_Abundance.RPKs	SRR528423_Abundance.RPKs	SRR532006_Abundance.RPKs	SRR532015_Abundance.RPKs	SRR532024_Abundance.RPKs	SRR532040_Abundance.RPKs	SRR532178_Abundance.RPKs	SRR532183_Abundance.RPKs	SRR532190_Abundance.RPKs	SRR532191_Abundance.RPKs	SRR532504_Abundance.RPKs	SRR532507_Abundance.RPKs	SRR533152_Abundance.RPKs	SRR533153_Abundance.RPKs	SRR545546_Abundance.RPKs	SRR638753_Abundance.RPKs	SRR640340_Abundance.RPKs	SRR640357_Abundance.RPKs	SRR640452_Abundance.RPKs	SRR640499_Abundance.RPKs
U2IUJ3	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.0220364	0.0175797	0.0213006	0.0173151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0429291	0.0187357	0.0330766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K1MPQ3	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.0162681	0.0271853	0.01659	0.0144937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187186	0.00860621	0.0105634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4DBA5	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	2.60542e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208963	0	0	0	0.00748243	0	0.015349	0	0.0128504
D5GZ36	 Transposase	g__Lactobacillus.s__Lactobacillus_crispatus	0.00460828	0.00432057	0.00729345	0.00723947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041055	0.00411342	0.00448531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K1ML97	 Transposase_for_insertion_sequence_element	g__Lactobacillus.s__Lactobacillus_crispatus	0.00408962	0.00392199	0.00614023	0.00573994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065341	0.00446969	0.0046929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D4HAY5	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	5.50973e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0324239	0	0	0	0
D4PZQ0	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.00413653	0.00202279	0.00530017	0.00426135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00339209	0.00453484	0.00675036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7T764	 Conserved_protein	g__Lactobacillus.s__Lactobacillus_crispatus	0.00299396	0.00147444	0.00358461	0.00493314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00732564	0.00212291	0.0053294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U5ECY4	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0.000177045	0.000184297	0	0	0	0	5.50912e-05	0	0	0.000101597	8.08894e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00053941	0.00159234	0.000572578	0.00232838	0	0	0	0	0.000771554	0.00215025	0	0	0.00709971	0.00494601	0	0.00520305	0	0.00125858
A4VYJ1	 NO_NAME	g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0.00152702	0.00152489	0.00110891	0.00138042	0.0013386	0.00100635	0.00121621	0.00111755	0.00094597	0.00136814	0.00514948	0.00546534	0.00106961	0.00101737	0.00119176	0	0	0	0	8.10524e-05	7.15829e-05	7.30164e-05	0	0	9.8572e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A7LQH0	 NO_NAME	g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000411097	0	0.00246138	0.00290441	0.00262011	0.00280366	0.00290156	0.00263589	0	0	0	0	0.00144357	0.00169711	0.0015362	0.00177923	0	0	0.00180986	0.00151526	0	0	0	0	0	0
E3R4D3	 Transposase_IS4_family	g__Lactobacillus.s__Lactobacillus_crispatus	0.00282678	0.00261574	0.00349436	0.00347576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00200916	0.00650419	0.00510895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D3MKC0	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227323	0	0.00241301	0	0	0	0	0	0	0.00351109	0	0	0	0	0	0	0	0.0171338
J7TUV6	 NO_NAME	g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0.00132286	0.00121849	0.00117067	0.00120426	0.00131234	0.00129113	0.00113654	0.00078551	0.000931535	0.00110909	0.00366829	0.0024254	0.000836606	0.000920749	0.00346426	0	0	0	0	0.000352437	0.000284936	0.000330072	0	0	0.000322701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
